"Reps","Rate","SampSize","Shape","ShapeSE","ShapeBias","TotSim"
10000,1,10,0.6,NA,0.414987093488035,10000
10000,1,20,0.6,NA,0.204281958246449,10000
10000,1,30,0.6,NA,0.136149706302874,10000
10000,1,40,0.6,NA,0.106144159947415,10000
10000,1,50,0.6,NA,0.0861806516761506,10000
10000,1,60,0.6,NA,0.0725817832078003,10000
10000,1,70,0.6,NA,0.0629335798794174,10000
10000,1,80,0.6,NA,0.0553830727290716,10000
10000,1,90,0.6,NA,0.0496636242943549,10000
10000,1,100,0.6,NA,0.0432413671484707,10000
10000,1,10,0.8,NA,0.494286169159572,10000
10000,1,20,0.8,NA,0.236605831703683,10000
10000,1,30,0.8,NA,0.169287712350322,10000
10000,1,40,0.8,NA,0.125160538677365,10000
10000,1,50,0.8,NA,0.102450594646548,10000
10000,1,60,0.8,NA,0.0849637172508576,10000
10000,1,70,0.8,NA,0.067789131629945,10000
10000,1,80,0.8,NA,0.0609775982505087,10000
10000,1,90,0.8,NA,0.0586713473872853,10000
10000,1,100,0.8,NA,0.0518473770343962,10000
10000,1,10,1,NA,0.59070777457486,10000
10000,1,20,1,NA,0.281174473056546,10000
10000,1,30,1,NA,0.190830356453536,10000
10000,1,40,1,NA,0.140624227799271,10000
10000,1,50,1,NA,0.118102418625498,10000
10000,1,60,1,NA,0.0934418725998484,10000
10000,1,70,1,NA,0.0816589094620242,10000
10000,1,80,1,NA,0.0725010770088061,10000
10000,1,90,1,NA,0.0651967110074331,10000
10000,1,100,1,NA,0.0581808296249745,10000
10000,1,10,1.2,NA,0.6760525923171,10000
10000,1,20,1.2,NA,0.326697097989783,10000
10000,1,30,1.2,NA,0.20423521247718,10000
10000,1,40,1.2,NA,0.154234005579802,10000
10000,1,50,1.2,NA,0.124437902916018,10000
10000,1,60,1.2,NA,0.106715389928088,10000
10000,1,70,1.2,NA,0.0926127360288233,10000
10000,1,80,1.2,NA,0.0849283682372413,10000
10000,1,90,1.2,NA,0.0735560411531258,10000
10000,1,100,1.2,NA,0.060636983358749,10000
10000,1,10,1.4,NA,0.766978479148832,10000
10000,1,20,1.4,NA,0.35798160879,10000
10000,1,30,1.4,NA,0.229231327168518,10000
10000,1,40,1.4,NA,0.180459541921441,10000
10000,1,50,1.4,NA,0.139074534028787,10000
10000,1,60,1.4,NA,0.11169248592631,10000
10000,1,70,1.4,NA,0.100758922769314,10000
10000,1,80,1.4,NA,0.0908013496431486,10000
10000,1,90,1.4,NA,0.0782944141847778,10000
10000,1,100,1.4,NA,0.0769538762158679,10000
